"grup","bioreactor","medi","agitacio","data","titol"
"G5","BR5","M1",100,2025-05-01,6.934134087438
"G5","BR5","M2",100,2025-05-01,8.69340384497142
"G5","BR5","M3",100,2025-05-01,14.9881820095391
"G5","BR5","M1",200,2025-05-01,5.88808913800277
"G5","BR5","M2",200,2025-05-01,9.6628452168594
"G5","BR5","M3",200,2025-05-01,16.2070854650368
"G5","BR5","M1",300,2025-05-01,8.99707534401358
"G5","BR5","M2",300,2025-05-01,6.12047788853582
"G5","BR5","M3",300,2025-05-01,8.50569169417781
"G5","BR5","M1",400,2025-05-01,10.7563799367146
"G5","BR5","M2",400,2025-05-01,9.07319138499068
"G5","BR5","M3",400,2025-05-01,8.81437090935065
"G5","BR5","M1",100,2025-05-04,8.26824829761462
"G5","BR5","M2",100,2025-05-04,10.4714899414177
"G5","BR5","M3",100,2025-05-04,15.2955263134375
"G5","BR5","M1",200,2025-05-04,9.03430466358335
"G5","BR5","M2",200,2025-05-04,13.4423984884546
"G5","BR5","M3",200,2025-05-04,12.3922623469517
"G5","BR5","M1",300,2025-05-04,8.95908031348158
"G5","BR5","M2",300,2025-05-04,5.6012939913282
"G5","BR5","M3",300,2025-05-04,8.93664804734244
"G5","BR5","M1",400,2025-05-04,7.83038864058458
"G5","BR5","M2",400,2025-05-04,10.3414632982846
"G5","BR5","M3",400,2025-05-04,14.4005960330005
"G5","BR5","M1",100,2025-05-05,16.1792369214933
"G5","BR5","M2",100,2025-05-05,14.8427431769513
"G5","BR5","M3",100,2025-05-05,10.1005471070132
"G5","BR5","M1",200,2025-05-05,4.03041781332709
"G5","BR5","M2",200,2025-05-05,9.03366040778477
"G5","BR5","M3",200,2025-05-05,10.7676216692199
"G5","BR5","M1",300,2025-05-05,11.8350390122023
"G5","BR5","M2",300,2025-05-05,13.0875839054528
"G5","BR5","M3",300,2025-05-05,12.5529282882494
"G5","BR5","M1",400,2025-05-05,5.1141769506016
"G5","BR5","M2",400,2025-05-05,12.7489291369001
"G5","BR5","M3",400,2025-05-05,9.16032835071833
"G5","BR5","M1",100,2025-05-08,9.82440810048377
"G5","BR5","M2",100,2025-05-08,10.4236535315212
"G5","BR5","M3",100,2025-05-08,11.7845002949115
"G5","BR5","M1",200,2025-05-08,9.37402494847842
"G5","BR5","M2",200,2025-05-08,5.19757470724301
"G5","BR5","M3",200,2025-05-08,12.7094878943203
"G5","BR5","M1",300,2025-05-08,10.458079705049
"G5","BR5","M2",300,2025-05-08,9.40304512416533
"G5","BR5","M3",300,2025-05-08,10.85443353314
"G5","BR5","M1",400,2025-05-08,9.70211593610539
"G5","BR5","M2",400,2025-05-08,10.863058405683
"G5","BR5","M3",400,2025-05-08,15.4225384979325
"G5","BR5","M1",100,2025-05-11,8.64284886319957
"G5","BR5","M2",100,2025-05-11,10.704196151654
"G5","BR5","M3",100,2025-05-11,14.0051516192073
"G5","BR5","M1",200,2025-05-11,12.4625430701308
"G5","BR5","M2",200,2025-05-11,13.6357893311411
"G5","BR5","M3",200,2025-05-11,8.76759599682133
"G5","BR5","M1",300,2025-05-11,15.3074481908785
"G5","BR5","M2",300,2025-05-11,10.4001026127905
"G5","BR5","M3",300,2025-05-11,16.1005555341206
"G5","BR5","M1",400,2025-05-11,5.24729194190787
"G5","BR5","M2",400,2025-05-11,10.2629507590627
"G5","BR5","M3",400,2025-05-11,14.2497437129076
