"grup","bioreactor","medi","agitacio","data","titol"
"G3","BR3","M1",100,2025-05-01,9.65293979130038
"G3","BR3","M2",100,2025-05-01,7.35757615744559
"G3","BR3","M3",100,2025-05-01,9.028327668898
"G3","BR3","M1",200,2025-05-01,8.53172342340526
"G3","BR3","M2",200,2025-05-01,15.7315860156966
"G3","BR3","M3",200,2025-05-01,8.54415029491362
"G3","BR3","M1",300,2025-05-01,10.0061597168546
"G3","BR3","M2",300,2025-05-01,10.4338825486911
"G3","BR3","M3",300,2025-05-01,7.61443009760961
"G3","BR3","M1",400,2025-05-01,9.08607574162921
"G3","BR3","M2",400,2025-05-01,14.53365257527
"G3","BR3","M3",400,2025-05-01,11.8545121592376
"G3","BR3","M1",100,2025-05-04,9.42369876597882
"G3","BR3","M2",100,2025-05-04,8.93250950298112
"G3","BR3","M3",100,2025-05-04,4.34025833537845
"G3","BR3","M1",200,2025-05-04,12.6940116402425
"G3","BR3","M2",200,2025-05-04,5.81807978722553
"G3","BR3","M3",200,2025-05-04,12.719842532632
"G3","BR3","M1",300,2025-05-04,15.0273107076525
"G3","BR3","M2",300,2025-05-04,5.8683205170846
"G3","BR3","M3",300,2025-05-04,12.6053530061241
"G3","BR3","M1",400,2025-05-04,8.5134075317926
"G3","BR3","M2",400,2025-05-04,5.48356752256354
"G3","BR3","M3",400,2025-05-04,5.95599703865475
"G3","BR3","M1",100,2025-05-05,4.49539147927622
"G3","BR3","M2",100,2025-05-05,8.60728043348909
"G3","BR3","M3",100,2025-05-05,6.1147332450123
"G3","BR3","M1",200,2025-05-05,11.3637503189275
"G3","BR3","M2",200,2025-05-05,16.500326821577
"G3","BR3","M3",200,2025-05-05,6.63890857189446
"G3","BR3","M1",300,2025-05-05,11.6632165424255
"G3","BR3","M2",300,2025-05-05,12.5071267230027
"G3","BR3","M3",300,2025-05-05,11.4966077368504
"G3","BR3","M1",400,2025-05-05,6.27487017516898
"G3","BR3","M2",400,2025-05-05,9.84164218010802
"G3","BR3","M3",400,2025-05-05,9.65881399448926
"G3","BR3","M1",100,2025-05-08,10.9889685996614
"G3","BR3","M2",100,2025-05-08,9.08268373168851
"G3","BR3","M3",100,2025-05-08,13.4309201600569
"G3","BR3","M1",200,2025-05-08,8.17625742669896
"G3","BR3","M2",200,2025-05-08,13.358134396738
"G3","BR3","M3",200,2025-05-08,7.3524689800018
"G3","BR3","M1",300,2025-05-08,5.51953426572566
"G3","BR3","M2",300,2025-05-08,19.9231198048272
"G3","BR3","M3",300,2025-05-08,9.2494272355187
"G3","BR3","M1",400,2025-05-08,10.1946827746221
"G3","BR3","M2",400,2025-05-08,12.1097090221015
"G3","BR3","M3",400,2025-05-08,9.04865812287377
"G3","BR3","M1",100,2025-05-11,10.8505861329408
"G3","BR3","M2",100,2025-05-11,11.3068935821553
"G3","BR3","M3",100,2025-05-11,9.85385847707492
"G3","BR3","M1",200,2025-05-11,9.49587910057595
"G3","BR3","M2",200,2025-05-11,10.0977982387846
"G3","BR3","M3",200,2025-05-11,16.8853556970485
"G3","BR3","M1",300,2025-05-11,7.07599171118152
"G3","BR3","M2",300,2025-05-11,6.91201119877601
"G3","BR3","M3",300,2025-05-11,10.6133651975132
"G3","BR3","M1",400,2025-05-11,10.2314422483294
"G3","BR3","M2",400,2025-05-11,11.5095704367305
"G3","BR3","M3",400,2025-05-11,9.12490400186668
