"grup","bioreactor","medi","agitacio","data","titol"
"G2","BR2","M1",100,2025-05-01,10.4389184482796
"G2","BR2","M2",100,2025-05-01,8.69302964067209
"G2","BR2","M3",100,2025-05-01,9.50037784899174
"G2","BR2","M1",200,2025-05-01,6.24427385067873
"G2","BR2","M2",200,2025-05-01,6.98462632057327
"G2","BR2","M3",200,2025-05-01,11.4105859242128
"G2","BR2","M1",300,2025-05-01,10.6446293358883
"G2","BR2","M2",300,2025-05-01,10.3590126801915
"G2","BR2","M3",300,2025-05-01,13.2668024036392
"G2","BR2","M1",400,2025-05-01,15.4502540568814
"G2","BR2","M2",400,2025-05-01,8.72690650183039
"G2","BR2","M3",400,2025-05-01,3.57249337307756
"G2","BR2","M1",100,2025-05-04,12.3172155733868
"G2","BR2","M2",100,2025-05-04,8.07239771225282
"G2","BR2","M3",100,2025-05-04,8.43597415059793
"G2","BR2","M1",200,2025-05-04,12.3767141090901
"G2","BR2","M2",200,2025-05-04,9.34568097884697
"G2","BR2","M3",200,2025-05-04,6.83784686323639
"G2","BR2","M1",300,2025-05-04,9.84391043924745
"G2","BR2","M2",300,2025-05-04,9.78332591268287
"G2","BR2","M3",300,2025-05-04,10.5172925576997
"G2","BR2","M1",400,2025-05-04,10.455841203379
"G2","BR2","M2",400,2025-05-04,9.08801990462277
"G2","BR2","M3",400,2025-05-04,12.4331296455565
"G2","BR2","M1",100,2025-05-05,8.63854031454375
"G2","BR2","M2",100,2025-05-05,11.1953458917471
"G2","BR2","M3",100,2025-05-05,13.790517039448
"G2","BR2","M1",200,2025-05-05,10.6055444725014
"G2","BR2","M2",200,2025-05-05,9.22220524340632
"G2","BR2","M3",200,2025-05-05,13.9464228553533
"G2","BR2","M1",300,2025-05-05,12.2805115678864
"G2","BR2","M2",300,2025-05-05,11.8451908785242
"G2","BR2","M3",300,2025-05-05,11.2161952053343
"G2","BR2","M1",400,2025-05-05,7.41628177188189
"G2","BR2","M2",400,2025-05-05,14.28195734559
"G2","BR2","M3",400,2025-05-05,8.69922123855862
"G2","BR2","M1",100,2025-05-08,15.8619989790497
"G2","BR2","M2",100,2025-05-08,14.7978318785556
"G2","BR2","M3",100,2025-05-08,9.79289892269857
"G2","BR2","M1",200,2025-05-08,6.22073729907966
"G2","BR2","M2",200,2025-05-08,8.0687803089021
"G2","BR2","M3",200,2025-05-08,11.2706511274696
"G2","BR2","M1",300,2025-05-08,8.55992436461288
"G2","BR2","M2",300,2025-05-08,9.1573722018068
"G2","BR2","M3",300,2025-05-08,7.64514429820495
"G2","BR2","M1",400,2025-05-08,9.16491682557324
"G2","BR2","M2",400,2025-05-08,7.84528659162877
"G2","BR2","M3",400,2025-05-08,5.49617419023559
"G2","BR2","M1",100,2025-05-11,8.15932043913671
"G2","BR2","M2",100,2025-05-11,12.9569898271823
"G2","BR2","M3",100,2025-05-11,8.77395911217482
"G2","BR2","M1",200,2025-05-11,11.1238929666751
"G2","BR2","M2",200,2025-05-11,5.34635187513251
"G2","BR2","M3",200,2025-05-11,10.3333141034264
"G2","BR2","M1",300,2025-05-11,10.8582216118304
"G2","BR2","M2",300,2025-05-11,11.1034600865001
"G2","BR2","M3",300,2025-05-11,10.8170285824468
"G2","BR2","M1",400,2025-05-11,7.37788197508387
"G2","BR2","M2",400,2025-05-11,7.65088696189925
"G2","BR2","M3",400,2025-05-11,7.42761362818526
