"grup","bioreactor","medi","agitacio","data","titol"
"G7","BR7","M1",100,2025-05-01,8.6841022275954
"G7","BR7","M2",100,2025-05-01,12.153579844763
"G7","BR7","M3",100,2025-05-01,11.3212994731096
"G7","BR7","M1",200,2025-05-01,12.3740197044551
"G7","BR7","M2",200,2025-05-01,12.6529783391223
"G7","BR7","M3",200,2025-05-01,9.87062048631447
"G7","BR7","M1",300,2025-05-01,10.4345033166255
"G7","BR7","M2",300,2025-05-01,7.36377350662832
"G7","BR7","M3",300,2025-05-01,13.070769032698
"G7","BR7","M1",400,2025-05-01,7.91688498334694
"G7","BR7","M2",400,2025-05-01,17.4503200613646
"G7","BR7","M3",400,2025-05-01,5.54685331293544
"G7","BR7","M1",100,2025-05-04,7.90803827110196
"G7","BR7","M2",100,2025-05-04,12.6761395882777
"G7","BR7","M3",100,2025-05-04,12.030397640636
"G7","BR7","M1",200,2025-05-04,7.531556884455
"G7","BR7","M2",200,2025-05-04,7.20965777337743
"G7","BR7","M3",200,2025-05-04,10.9334271141321
"G7","BR7","M1",300,2025-05-04,9.25707776049926
"G7","BR7","M2",300,2025-05-04,4.82915628820782
"G7","BR7","M3",300,2025-05-04,10.6036532014016
"G7","BR7","M1",400,2025-05-04,9.87069094707737
"G7","BR7","M2",400,2025-05-04,10.7241791909455
"G7","BR7","M3",400,2025-05-04,7.33494887219196
"G7","BR7","M1",100,2025-05-05,10.7283998349079
"G7","BR7","M2",100,2025-05-05,14.3357104108777
"G7","BR7","M3",100,2025-05-05,11.8687092095394
"G7","BR7","M1",200,2025-05-05,5.89323458887697
"G7","BR7","M2",200,2025-05-05,8.89306359092428
"G7","BR7","M3",200,2025-05-05,11.5383108586608
"G7","BR7","M1",300,2025-05-05,7.35886310604519
"G7","BR7","M2",300,2025-05-05,3.72706099495417
"G7","BR7","M3",300,2025-05-05,13.1527524600846
"G7","BR7","M1",400,2025-05-05,6.81156716512645
"G7","BR7","M2",400,2025-05-05,8.47931918769515
"G7","BR7","M3",400,2025-05-05,15.0117018270136
"G7","BR7","M1",100,2025-05-08,6.97756521118379
"G7","BR7","M2",100,2025-05-08,12.7371946205679
"G7","BR7","M3",100,2025-05-08,6.71795136354367
"G7","BR7","M1",200,2025-05-08,8.23637279077807
"G7","BR7","M2",200,2025-05-08,9.97933194259056
"G7","BR7","M3",200,2025-05-08,6.99404572672693
"G7","BR7","M1",300,2025-05-08,7.39575520527327
"G7","BR7","M2",300,2025-05-08,10.1134753412151
"G7","BR7","M3",300,2025-05-08,12.5120879062018
"G7","BR7","M1",400,2025-05-08,4.34836036972467
"G7","BR7","M2",400,2025-05-08,9.15073728236619
"G7","BR7","M3",400,2025-05-08,12.7692193156365
"G7","BR7","M1",100,2025-05-11,7.68357252006722
"G7","BR7","M2",100,2025-05-11,10.8818757650188
"G7","BR7","M3",100,2025-05-11,11.9766857101933
"G7","BR7","M1",200,2025-05-11,10.103505045995
"G7","BR7","M2",200,2025-05-11,12.1597730384141
"G7","BR7","M3",200,2025-05-11,10.1318740170679
"G7","BR7","M1",300,2025-05-11,8.05897045922364
"G7","BR7","M2",300,2025-05-11,2.27055314391306
"G7","BR7","M3",300,2025-05-11,10.2211769445616
"G7","BR7","M1",400,2025-05-11,10.59085408908
"G7","BR7","M2",400,2025-05-11,11.8061965226044
"G7","BR7","M3",400,2025-05-11,8.83416494606024
