"BLA_expr","nivell_amp","taxa_creixement","condicio_stress","superviv"
2.87577520124614,"baix",1.3044829518231,"oxidatiu",1
7.88305135443807,"baix",0.402175453393425,"cap",0
4.089769218117,"alt",0.871816213838371,"oxidatiu",0
8.83017404004931,"baix",1.03499118507481,"oxidatiu",0
9.40467284293845,"baix",0.732037728983514,"cap",0
0.455564993899316,"alt",1.10017088274977,"cap",0
5.28105488047004,"baix",1.12342897618472,"cap",1
8.92419044394046,"baix",0.990089152217203,"cap",1
5.51435014465824,"baix",0.260230541871992,"oxidatiu",0
4.56614735303447,"alt",1.77143744375999,"cap",1
9.56833345349878,"alt",0.93841022275954,"oxidatiu",0
4.53334156190977,"baix",1.1953579844763,"cap",0
6.77570635452867,"baix",1.08212994731096,"cap",1
5.72633401956409,"baix",1.30740197044551,"oxidatiu",0
1.02924682665616,"alt",1.24529783391223,"oxidatiu",0
8.99824970401824,"baix",0.937062048631447,"oxidatiu",0
2.4608773435466,"alt",1.11345033166255,"oxidatiu",0
0.420595335308462,"baix",0.716377350662832,"cap",0
3.27920719282702,"alt",1.2570769032698,"oxidatiu",0
9.54503649147227,"baix",0.861688498334694,"oxidatiu",0
8.89539316063747,"baix",1.72503200613646,"oxidatiu",0
6.928034061566,"baix",0.504685331293544,"oxidatiu",0
6.40506813768297,"alt",0.860803827110196,"cap",0
9.94269776623696,"alt",1.24761395882777,"oxidatiu",0
6.55705799115822,"baix",1.1530397640636,"oxidatiu",0
7.08530468167737,"baix",0.8231556884455,"cap",1
5.44066024711356,"alt",0.700965777337743,"oxidatiu",0
5.9414202044718,"baix",1.04334271141321,"cap",1
2.8915973729454,"baix",0.995707776049926,"cap",0
1.47113647311926,"alt",0.462915628820782,"cap",0
9.63024232536554,"baix",1.01036532014016,"cap",1
9.02299045119435,"alt",1.05706909470774,"cap",1
6.90705278422683,"alt",1.05241791909455,"oxidatiu",0
7.95467417687178,"alt",0.683494887219195,"cap",0
0.246136845089495,"alt",1.14283998349079,"oxidatiu",0
4.77795971091837,"alt",1.41357104108777,"oxidatiu",0
7.58459537522867,"alt",1.13687092095394,"cap",1
2.16407935833558,"alt",0.659323458887697,"cap",0
3.18181007634848,"alt",0.869306359092428,"oxidatiu",0
2.31625785352662,"baix",1.10383108586608,"oxidatiu",0
1.42800022382289,"alt",0.805886310604519,"cap",0
4.14546335814521,"baix",0.352706099495417,"cap",0
4.13724326295778,"baix",1.26527524600846,"cap",0
3.68845450924709,"baix",0.751156716512645,"cap",1
1.52444747742265,"baix",0.827931918769515,"cap",0
1.3880606344901,"baix",1.45117018270136,"oxidatiu",0
2.33034099452198,"baix",0.767756521118379,"cap",0
4.65962450252846,"baix",1.25371946205679,"cap",1
2.65972640365362,"alt",0.621795136354367,"cap",0
8.57827715342864,"alt",0.893637279077807,"cap",0
0.458311666734517,"baix",0.977933194259056,"oxidatiu",0
4.42200074205175,"baix",0.649404572672693,"oxidatiu",0
7.98924845643342,"baix",0.809575520527327,"oxidatiu",0
1.2189925997518,"baix",0.991347534121506,"cap",0
5.60947983758524,"baix",1.20120879062018,"oxidatiu",0
2.0653138961643,"baix",0.504836036972467,"cap",0
1.27531650243327,"alt",0.895073728236619,"cap",0
7.53307864302769,"baix",1.22692193156365,"cap",1
8.95045359153301,"alt",0.838357252006722,"cap",1
3.74462775886059,"baix",1.06818757650188,"cap",0
6.65115194628015,"alt",1.14766857101933,"oxidatiu",0
0.948406609240919,"alt",1.0803505045995,"oxidatiu",0
3.83969637798145,"alt",1.19597730384141,"cap",0
2.7438364457339,"alt",0.963187401706786,"cap",0
8.14640038879588,"alt",0.875897045922364,"oxidatiu",0
4.48516341391951,"baix",0.207055314391307,"cap",0
8.10064353048801,"alt",0.972117694456158,"oxidatiu",0
8.12389509519562,"baix",1.129085408908,"oxidatiu",1
7.94342321110889,"baix",1.16061965226045,"oxidatiu",1
4.39831687603146,"baix",0.833416494606025,"cap",0
7.54475158639252,"baix",1.53385087293254,"cap",0
6.29221131559461,"baix",1.08592732588865,"oxidatiu",0
