"BLA_expr","superviv"
2.87577520124614,0
7.88305135443807,1
4.089769218117,0
8.83017404004931,1
9.40467284293845,1
0.455564993899316,0
5.28105488047004,1
8.92419044394046,1
5.51435014465824,1
4.56614735303447,0
9.56833345349878,1
4.53334156190977,0
6.77570635452867,1
5.72633401956409,1
1.02924682665616,0
8.99824970401824,1
2.4608773435466,0
0.420595335308462,0
3.27920719282702,0
9.54503649147227,1
8.89539316063747,1
6.928034061566,1
6.40506813768297,0
9.94269776623696,1
6.55705799115822,1
7.08530468167737,1
5.44066024711356,1
5.9414202044718,1
2.8915973729454,1
1.47113647311926,0
9.63024232536554,1
9.02299045119435,1
6.90705278422683,1
7.95467417687178,1
0.246136845089495,0
4.77795971091837,0
7.58459537522867,1
2.16407935833558,0
3.18181007634848,1
2.31625785352662,0
1.42800022382289,0
4.14546335814521,0
4.13724326295778,1
3.68845450924709,0
1.52444747742265,0
1.3880606344901,0
2.33034099452198,0
4.65962450252846,1
2.65972640365362,0
8.57827715342864,1
0.458311666734517,0
4.42200074205175,1
7.98924845643342,1
1.2189925997518,0
5.60947983758524,1
2.0653138961643,0
1.27531650243327,0
7.53307864302769,1
8.95045359153301,1
3.74462775886059,0
6.65115194628015,1
0.948406609240919,0
3.83969637798145,0
2.7438364457339,0
8.14640038879588,1
4.48516341391951,1
8.10064353048801,1
8.12389509519562,1
7.94342321110889,1
4.39831687603146,1
7.54475158639252,1
6.29221131559461,0
7.10182401351631,1
0.00624773325398564,0
4.75316574098542,0
2.20118885161355,0
3.79816537722945,0
6.12771003274247,1
3.51797909243032,0
1.11135424347594,0
2.43619472719729,0
6.6805558744818,1
4.17646779678762,0
7.88195834029466,1
1.02864644257352,0
4.34892741497606,0
9.84956979984418,1
8.93051114398986,1
8.86469060787931,1
1.75052650272846,0
1.30695691565052,0
6.53101925039664,1
3.43516472261399,0
6.56758127966896,1
3.20373242488131,0
1.87691119266674,0
7.82294301316142,1
0.935949867125601,1
4.6677904156968,1
5.11505459900945,1
5.9998895926401,1
3.32823540316895,0
4.88613033667207,1
9.54473827499896,1
4.829023971688,0
8.90350222121924,1
9.14438186911866,1
6.08734982321039,1
4.10689776530489,0
1.47094690939412,0
9.35299803270027,1
3.01228899974376,1
0.607205715496093,0
9.47726940037683,1
7.20596273429692,1
1.42294295597821,0
5.49284656066447,1
9.5409123855643,1
5.85483353119344,1
4.04510281747207,0
6.4789347932674,0
3.19820617092773,0
3.07720010867342,0
2.19767631264403,0
3.69488865835592,0
9.84219203470275,1
1.54202300822362,1
0.910439998842776,0
1.41906907781959,0
6.90007101511583,1
6.19256483390927,0
8.91394117148593,1
6.72999092610553,1
7.37077737925574,1
5.21135725779459,0
6.5983844967559,1
8.21805460145697,1
7.86281551700085,1
9.79821917368099,1
4.39431536244228,1
3.1170220207423,0
4.09474952612072,0
0.104671118315309,0
1.8384952400811,0
8.42729318886995,1
2.31161782052368,0
2.39099955651909,1
0.766911653336138,0
2.45723678031936,0
7.3213520552963,1
