"GATA3","FOXP3","tipus"
6.43474006685838,6.92853594461617,"Tipus A"
3.6184998443317,6.49586838051346,"Tipus A"
5.64720291421333,7.02760628365979,"Tipus A"
2.88145729010372,5.89738334437356,"Tipus A"
3.00501430610867,5.60117192721848,"Tipus A"
6.90945278218391,4.62003303744976,"Tipus A"
4.96438476156459,7.2697781551892,"Tipus A"
3.020034581969,5.54190878237082,"Tipus A"
4.92247217194793,7.0316003343586,"Tipus A"
5.1781092022638,6.90766192112311,"Tipus A"
3.28154032585482,5.48838476270714,"Tipus A"
5.02986669075411,6.89142730895412,"Tipus A"
3.6262266308198,6.82641147173695,"Tipus A"
5.35784094805707,6.85048609399535,"Tipus A"
6.79213982947538,5.36228777470257,"Tipus A"
3.17278399223805,5.92158244099965,"Tipus A"
6.59063046563698,6.58195044861247,"Tipus A"
6.86162085804461,5.69456508210634,"Tipus A"
6.15852171114042,6.73108548177582,"Tipus A"
3.11263564714773,5.56614035799929,"Tipus A"
3.06537580372371,6.17405333174442,"Tipus A"
3.87763182712014,6.57382587811273,"Tipus A"
4.13704434841979,6.47755817985247,"Tipus A"
3.53243703900216,4.97616421891479,"Tipus A"
3.87488944527717,6.71194149405574,"Tipus A"
3.50749563379684,6.6238724694372,"Tipus A"
4.73345563589305,7.4089418914282,"Tipus A"
4.4946941984835,6.83162823610701,"Tipus A"
6.33911234539769,6.67031982748756,"Tipus A"
6.67558168038534,5.83486403720006,"Tipus A"
2.7476470957564,5.23691613601473,"Tipus A"
3.40926906228116,5.682794081784,"Tipus A"
3.78475828900935,6.98371995071556,"Tipus A"
3.18249083504468,6.22882017974221,"Tipus A"
6.93495374990964,5.33270884720556,"Tipus A"
5.09010494016791,7.18985107870617,"Tipus A"
3.82618560383488,6.6048271649213,"Tipus A"
6.57649878946564,6.11377835814719,"Tipus A"
6.26979936555396,7.08922461582093,"Tipus A"
6.36862422227109,6.2350297283921,"Tipus A"
6.85570475442181,5.8409980659517,"Tipus A"
5.44932351374884,7.27937328626102,"Tipus A"
5.55911893471133,7.25050530700369,"Tipus A"
5.57710731992338,6.56011820718467,"Tipus A"
6.44728651599203,5.70337291047225,"Tipus A"
7.3121387926451,5.50524508058182,"Tipus A"
6.63772426045229,6.38232520200244,"Tipus A"
4.90063905405372,7.02978663095206,"Tipus A"
6.18870717855304,6.57439691719357,"Tipus A"
2.89982937399885,6.00192795026111,"Tipus A"
7.52900731425489,5.13649855983503,"Tipus A"
5.68927840763503,6.71869316802881,"Tipus A"
3.31965969046018,6.43772528086738,"Tipus A"
6.99092543288015,5.93509665635048,"Tipus A"
4.51580320033058,6.58615804621506,"Tipus A"
6.4745118600936,6.18473423068331,"Tipus A"
6.64446269900167,5.55605153936402,"Tipus A"
3.4225122932161,5.88175324357309,"Tipus A"
3.5204638519378,5.68509522832202,"Tipus A"
5.7549772775644,6.82666176692492,"Tipus A"
4.03826533104098,6.71256199061288,"Tipus A"
6.9728020279951,5.64116181346406,"Tipus A"
6.02112096698968,7.08920617433965,"Tipus A"
6.1728225074888,6.56969335636994,"Tipus A"
