"proteina","mRNA"
28.343003006594,8.87904870689557
27.4386491311312,9.53964502103344
42.9327525290748,13.1174166282982
33.9355842986796,10.1410167828492
34.0620507375156,10.2585754703219
43.0449509377001,13.4301299737666
34.9811678500856,10.9218324119784
22.1619857500539,7.46987753078693
24.6550322336792,8.62629429621295
25.8041441753507,9.10867605980008
34.5656628689547,12.4481635948789
31.3272138502658,10.7196276541147
27.3430432972913,10.8015429011881
39.3399201570248,10.2213654318902
31.4968011846955,8.88831773049185
36.2290444880051,13.5738262736062
31.3755635281791,10.9957009564585
16.3336756457293,6.06676568674072
37.3279958827274,11.4027118031274
26.8297752877451,9.05441718454413
24.6063318200579,7.86435258802631
28.5779634906554,9.56405017068341
23.6724914809913,7.94799110338552
31.101061760311,8.54221754141772
25.3466804502674,8.74992146430149
25.9457225532637,6.62661337851517
28.8317110500463,11.6755740889891
33.2586937055634,10.306746235673
23.6665953533068,7.72372612597611
38.3866558013954,12.5076298421399
