"temps_dupl","medi","nutrient","clon"
1.28628218700744,"A","baix","1"
1.28722695340841,"A","baix","2"
0.765552004011852,"A","baix","3"
2.2042221971448,"A","baix","4"
0.900609561143717,"A","baix","5"
2.13836668397865,"A","baix","6"
1.6642824592092,"A","baix","7"
2.4936459280333,"A","baix","8"
1.06148032855305,"A","baix","9"
1.94599393160037,"A","baix","10"
1.00240166300591,"A","baix","11"
1.27845944204095,"A","baix","12"
1.46901190354436,"A","baix","13"
1.7312067756456,"A","baix","14"
1.95753030094315,"A","baix","15"
1.56542260258687,"A","baix","16"
1.07999607623708,"A","baix","17"
3.34905709047966,"A","baix","18"
0.382570446974943,"B","baix","1"
0.787382418004382,"B","baix","2"
0.874207742784069,"B","baix","3"
2.34387402749196,"B","baix","4"
1.2668767140833,"B","baix","5"
0.971490822116951,"B","baix","6"
3.23478709827465,"B","baix","7"
1.30583023782575,"B","baix","8"
0.451464582864443,"B","baix","9"
0.728756370617711,"B","baix","10"
1.04526874724558,"B","baix","11"
0.878459066856867,"B","baix","12"
2.04282713486641,"B","baix","13"
2.02140144534437,"B","baix","14"
2.03819242170258,"B","baix","15"
1.33234258657127,"B","baix","16"
0.975715378337369,"B","baix","17"
1.54658657231952,"B","baix","18"
1.58916040693901,"C","baix","1"
0.868226650997029,"C","baix","2"
3.06619621015222,"C","baix","3"
2.41130199971752,"C","baix","4"
1.28883001947302,"C","baix","5"
4.0077743160307,"C","baix","6"
1.02507723074177,"C","baix","7"
2.73301546807179,"C","baix","8"
0.902703856091742,"C","baix","9"
1.73488516406585,"C","baix","10"
2.3735494126354,"C","baix","11"
8.27547336405118,"C","baix","12"
2.96746587007688,"C","baix","13"
2.82362884316578,"C","baix","14"
2.41321058890299,"C","baix","15"
3.93673184021139,"C","baix","16"
2.9182810095172,"C","baix","17"
1.23571860719713,"C","baix","18"
0.48305560212765,"A","mitja","1"
0.417464486231251,"A","mitja","2"
0.615198849698368,"A","mitja","3"
1.84876866122062,"A","mitja","4"
1.43569492701062,"A","mitja","5"
1.18331830621149,"A","mitja","6"
1.07929425438278,"A","mitja","7"
1.91695198136464,"A","mitja","8"
1.02666253776489,"A","mitja","9"
2.23484299597051,"A","mitja","10"
